Klíč_adresy,Adresa_GPS,Poslední_kontrola,Příští_kontrola,Dní_do_kontroly,Stav_kontroly,Barva_bodu,Všechny_termíny,GPS_lat,GPS_lon,GPS_poznámka,Zdrojový_soubor,Zdrojový_řádek,Rok výroby,Serviska,Hlídáme sami termín,Hlavní kontakt,Kraj,Jaký zdroj,Umístění,DŮLEŽITÁ POZNÁMKA,Měsíc_1,Měsíc_2,Měsíc_3,Měsíc_4,Měsíc_5,Měsíc_6,Měsíc_7,Měsíc_8,Měsíc_9,Měsíc_10,Měsíc_11,Měsíc_12,Sloupec_21,Poznámky,Cena FZ,Faktura na,Protokol s fakturou na,Smlouva ano/ne,Sloupec_27,Sloupec_28,Sloupec_29,Sloupec_30,Sloupec_31,Sloupec_32,Sloupec_33,Sloupec_34,Sloupec_35,Sloupec_36,Sloupec_37,Sloupec_38,Sloupec_39,Sloupec_40,Sloupec_41,Sloupec_42,Sloupec_43,Sloupec_44,Sloupec_45,Sloupec_46,Sloupec_47,Sloupec_48,Sloupec_49,Sloupec_50,Sloupec_51,Sloupec_52,Sloupec_53,Sloupec_54,Sloupec_55,Sloupec_56,Sloupec_57,Sloupec_58,Sloupec_59,Sloupec_60,Sloupec_61,Sloupec_62,Sloupec_63,Sloupec_64,Sloupec_65,Sloupec_66,Sloupec_67,Sloupec_68,Sloupec_69,Sloupec_70,Sloupec_71,Sloupec_72,Sloupec_73,Sloupec_74,Sloupec_75,Sloupec_76,Sloupec_77,Sloupec_78,Sloupec_79,Sloupec_80,Sloupec_81,Sloupec_82,Sloupec_83,Sloupec_84,Sloupec_85,Sloupec_86,Sloupec_87,Sloupec_88,Sloupec_89,Sloupec_90,Sloupec_91,Sloupec_92,Sloupec_93,Sloupec_94,Počet_termínů,Kontakt,Umístění zdroje,Sloupec_8,Cena FZ v Kč,Protokol na
"praha, breitfeldova 704/1 bd, port karolina c, česká republika","Praha, Breitfeldova 704/1 BD, PORT KAROLINA C, Česká republika",,2027-04-22,353,Více než 60 dnů,zelená,2027-04-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",515,2020,,,,Praha,ASTIP STRONG 20kVA/3F-45 minut,,,,,,22/27-Breitf. 704/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"pan Šrepl AVEMA - správa nemovitostí
727 875 750
Domovnk objektu - pan Borovička    602 143 824","Praha, Breitfeldova 704_1 BD - PORT KAROLINA C",,,
"praha, budínova 2, protialkoholní záchytka, bulovka, česká republika","Praha, Budínova 2, protialkoholní záchytka, Bulovka, Česká republika",2026-03-25,2026-09-25,144,Více než 60 dnů,zelená,2026-03-25 (proběhlá); 2026-09-25 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,242,2020,ano,ano,Petr Křivánek 602 220 435,Praha,ASTIP STRONG 20kVA/3F -45 minut,"Praha, Budínova 2, protialkoholní záchytka, Bulovka",,,,25/26,,,,,,25/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, bělohorská 107, hotel valcha, česká republika","Praha, Bělohorská 107, hotel Valcha, Česká republika",2026-01-08,2026-07-08,65,Více než 60 dnů,zelená,2026-01-08 (proběhlá); 2026-07-08 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,239,2018,ano,,Aleš Malina - 777 250 283,Praha,PS LiftBack 10 000/3f – 45min.,"Praha, Bělohorská 107, hotel Valcha",,8/26,,,,,,8/26,,,,,,,"hurá …máme objednávku 18.6.2024 -má ještě hotel Avion, tam jsme dodali zdroj v dubnu, posílám aktualizaci CN ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, bělohorská 50, česká republika","Praha, Bělohorská 50, Česká republika",2026-02-19,2026-08-19,107,Více než 60 dnů,zelená,2026-02-19 (proběhlá); 2026-08-19 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,240,2018,,,Bauman - 731 956 325,Praha,STRONG 20 000/3f - 45min.,"Praha, Bělohorská 50",,,19/26,,,,,,19/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, březinova, česká republika","Praha, Březinova, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",337,2016,,,,Praha,  PS 2000/3f-10 minut,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"Praha, Březinova",,,
"praha, chlumecká, flexi park, česká republika","Praha, Chlumecká, FLEXI PARK, Česká republika",2026-02-05,2026-08-05,93,Více než 60 dnů,zelená,2026-02-05 (proběhlá); 2026-08-05 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,250,2023,ano,,Jana Naušová 602 305 888,Praha,ASTIP STRONG 50kVA/5kVA/3F-60 minut,"Praha, Chlumecká, FLEXI PARK",,,5/26,,,,,,5/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, chlumova 3, bd, česká republika","Praha, Chlumova 3, BD, Česká republika",2026-03-13,2026-03-13,-52,Po termínu,červená,2026-03-13 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",372,2024,ano,,,Praha,ASTIP SRONG 3000VA/3F/45 min,,,,,13/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ing. Hošnová 605 707 014,"Praha, Chlumova 3, BD",,,
"praha, choceradská 2, bd, česká republika","Praha, Choceradská 2, BD, Česká republika",,2027-04-14,345,Více než 60 dnů,zelená,2027-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",373,2021,ano,ano,,Praha,STRONG 15 kVA + 5 kVA,,,,,,14/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Koura 725 406 407,"Praha, Choceradská 2, BD",,,
"praha, chudenická 1062, česká republika","Praha, Chudenická 1062, Česká republika",,2026-10-14,163,Více než 60 dnů,zelená,2026-10-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",374,"2013, nově 2024",,,,Praha,  PS 2000/3f-45 minut,,,,,,,,,,,,14/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Antonín Čepela - 777 800 262,"Praha, Chudenická 1062",,,
"praha, dalimilova 7, bd, česká republika","Praha, Dalimilova 7, BD, Česká republika",,2026-11-18,198,Více než 60 dnů,zelená,2026-11-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",342,2022,,,,Praha,ASTIP STRONG 1000/1F -10 minut,,,,,,,,,,,,,18/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hanousková 724 258 954,"Praha, Dalimilova 7, BD",,,
"praha, dobratická 525, zš tupolevova, česká republika","Praha, Dobratická 525, ZŠ Tupolevova, Česká republika",2026-03-03,2026-09-03,122,Více než 60 dnů,zelená,2026-03-03 (proběhlá); 2026-09-03 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,244,"2018, 2023 - nový pajšl",ano,ano,školník - 602 129 890,Praha,ASTIP STRONG 5 000/3f-30 min,"Praha, Dobratická 525, ZŠ Tupolevova",,,,3/26,,,,,,3/26,,,,,hlídat sami kontroly ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, domalípova 1189/01 b, tesla hloubětín, česká republika","Praha, Domalípova 1189/01 B, Tesla Hloubětín, Česká republika",,2026-09-09,128,Více než 60 dnů,zelená,2026-09-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",344,2024,,,,Praha,ASTIP STRONG 60/50kVA/3F -45 minut,,,,,,,,,,,9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Vedral OptimCare -771 500 078, Technik objektu Urban 778 743 149","Praha, Domalípova 1189/01 B - Tesla Hloubětín",,,
"praha, domalípova 1189/01, tesla hloubětín, česká republika","Praha, Domalípova 1189/01, Tesla Hloubětín, Česká republika",,2026-09-09,128,Více než 60 dnů,zelená,2026-09-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",345,2024,,,,Praha,ASTIP STRONG Liftback 125kVA/3F -60 minut,,,,,,,,,,,9/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Vedral OptimCare -771 500 078, Technik objektu Urban 778 743 149","Praha, Domalípova 1189/01 - Tesla Hloubětín",,,
"praha, donská 12, bd, česká republika","Praha, Donská 12, BD, Česká republika",2025-07-25,2025-07-25,-283,Po termínu,červená,2025-07-25 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",346,2023 + 2024,ano,,,Praha,ASTIP STRONG 3kVA/3F-45 minut + STRONG 120/1F,,,,,,,,,25/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tušová 606 160 326,"Praha, Donská 12, BD",,,
"praha, dopraváků 749/3, stiebel eltron, česká republika","Praha, Dopraváků 749/3, Stiebel Eltron, Česká republika",,2026-09-09,128,Více než 60 dnů,zelená,2026-09-09 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",347,2025,ano,ano,,Praha,ASTIP STRONG 3kVA/3F-30 minut,,,,,,,,,,,9/26,,,,,"revize je až na říjen, chce ale, abychom ho měsíc dopředu kontaktovali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Ing. Erik Bóna, 702 290 504","Praha, Dopraváků 749/3, Stiebel Eltron",,,
"praha, drahobejlova 13, česká republika","Praha, Drahobejlova 13, Česká republika",2022-06-24,2022-06-24,-1410,Po termínu,červená,2022-06-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",348,2016,,,,Praha,PS 10kVA/3F-10minut + STRONG 5kVA/1F - 15 minut,,,,,,,,24/22,,,,,,,,"16.4.2021 -PS 10kVA - STOP STAV, 5 kVA - OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Jiří Karvánek - Tribase, 602 448 924","Praha, Drahobejlova 13",,,
"praha, drahobejlova 17, hotel harfa, česká republika","Praha, Drahobejlova 17, hotel Harfa, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,245,2017,,,Kalynchuk - 733 710 333,Praha,PS 10 kVA/3F -45 minut,"Praha, Drahobejlova 17, hotel Harfa",,,,5,,,,,,,,,,,"13.3.2025 - posláno znovu 18.6.2024 - poslána CN panu Bagínskému ...5.3.2020 STOP STAV, 16.3.2020 poslaná nabídka na výměnu baterií",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
"praha, drnovská, bd, česká republika","Praha, Drnovská, BD, Česká republika",,2027-01-22,263,Více než 60 dnů,zelená,2027-01-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",349,2025,,,,Praha,ASTIP STRONG 4000VA/1F- 45 minut,,,22/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Drnovská, BD",,,
"praha, ferrariho 3083, bd, česká republika","Praha, Ferrariho 3083, BD, Česká republika",,2026-12-10,220,Více než 60 dnů,zelená,2026-12-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",350,2021,,,,Praha,ASTIP STRONG 30kVA/15kVA/3F-45minut,,,,,,,,,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Dytrych PPM, 777 364 095","Praha, Ferrariho 3083, BD",,,
"praha, ferrariho 3091, bd, česká republika","Praha, Ferrariho 3091, BD, Česká republika",,2026-12-10,220,Více než 60 dnů,zelená,2026-12-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",351,2022,,,,Praha,ASTIP STRONG 30kVA/15kVA/3F-45minut,,,,,,,,,,,,,,10/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Dytrych PPM, 777 364 095","Praha, Ferrariho 3091, BD",,,
"praha, fikerova 1, česká republika","Praha, Fikerova 1, Česká republika",,2026-09-18,137,Více než 60 dnů,zelená,2026-09-18 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",352,2015,ano,,,Praha,  PS 40kVA/3f-45 minut,,,,,,,,,,,18/26,,,,,2025 -ta je hotová,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Kryštůfek - 734 850 771, Beneš - 777 757 960","Praha, Fikerova 1",,,
"praha, fn motol, uk 2, lf dostavba areálu plzeňská, česká republika","Praha, FN Motol, UK 2, LF dostavba areálu Plzeňská, Česká republika",2022-07-28,2023-01-28,-1192,Po termínu,červená,2022-07-28 (proběhlá); 2023-01-28 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,246,2019,,,pan Stárek – 608 445 563,Praha,ASTIP STRONG 3 000/3F -15 minut,"Praha, FN Motol, UK 2, LF dostavba areálu Plzeňská",,28/23,,,,,,28/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, formanská 674, 675, česká republika","Praha, Formanská 674, 675, Česká republika",,2027-02-19,291,Více než 60 dnů,zelená,2027-02-19 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",353,2022,,poznámka,,Praha,2 x ASTIP STRONG 1500/1f -15 minut,,,,19/27,,,,,,,,,,,,"2027-nuntá výměna pomocných aku u obou zdrojů 4,5Ah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Marek Mitáš 721 438 720, Matuška 778 710 504","Praha, Formanská 674, 675",,,
"praha, františka křížka 22, česká republika","Praha, Františka Křížka 22, Česká republika",2021-02-13,2021-02-13,-1906,Po termínu,červená,2021-02-13 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,247,2017,,,paní Mužíková 603 442 579,Praha,PS Lift Back 15 000/3f-45 min.,"Praha, Františka Křížka 22",,,13/21,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"praha, františka křížka 505-38, česká republika","Praha, Františka Křížka 505-38, Česká republika",2025-09-23,2025-09-23,-223,Po termínu,červená,2025-09-23 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",354,2020,,,,Praha,ASTIP STRONG 2kVA/3F -15 minut,,,,,,,,,,,23/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Mužíková 603 442 579,"Praha, Františka Křížka 505-38",,,
"praha, freiwaldova 1012, kamýk a, b, česká republika","Praha, Freiwaldova 1012, Kamýk A, B, Česká republika",2024-04-18,2024-10-18,-563,Po termínu,červená,2024-04-18 (proběhlá); 2024-10-18 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,248,2018,,,Vranovský 778 733 080,Praha,"ASTIP PS 30 000/3f – 15,30,45min, 2 x ASTIP PS 500/SO, ","Praha, Freiwaldova 1012, Kamýk A,B",,,,,18/24 30kVA-STOP STAV,,,,,,18/24,,,," 2024 -nutná výměna pomocky u 30kA, vyměnili si sami baterky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, gabčíkova, česká republika","Praha, Gabčíkova, Česká republika",,2026-06-24,51,30–60 dnů,žlutá,2026-06-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",355,2017,,,,Praha,PS 4000/3f - 15min.,,,,,,,,24/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tichota - 602 254 620 Jaroslav Pinc 606 609 003,"Praha, Gabčíkova",,,
"praha, gollové 1, kaskády barrandov, uldrich, česká republika","Praha, Gollové 1, Kaskády Barrandov, Uldrich, Česká republika",,2027-03-03,303,Více než 60 dnů,zelená,2027-03-03 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",356,2023,ano,,,Praha,"ASTIP STRONG 80kVA/7,5kVA/3F-45 minut",,,,,3/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Gollové 1, Kaskády Barrandov, Uldrich",,,
"praha, hadovitá bd, česká republika","Praha, Hadovitá BD, Česká republika",,2026-11-06,186,Více než 60 dnů,zelená,2026-11-06 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",357,2018,ano,,,Praha,"PS 60 000/3F -30, 45, 60 minut",,,,,,,,,,,,,6/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Barbora Svatošová 773 745 444,"Praha, Hadovitá BD",,,
"praha, harlacherova 2, 2a, česká republika","Praha, Harlacherova 2, 2a, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",358,2014,,,,Praha,"2 x PS 750/3f, 10 min.",,,,,,,,25,,,,,,,,????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Čančík - 725 184 359,"Praha, Harlacherova 2, 2a",,,
"praha, haštalská 14, hotel maxmilián, česká republika","Praha, Haštalská 14, hotel Maxmilián, Česká republika",2026-04-22,2026-10-22,171,Více než 60 dnů,zelená,2026-04-22 (proběhlá); 2026-10-22 (plánovaná),,,čeká na přesné geokódování,Kalendář FZ - 6 měsíců.xlsx,249,2019,ano,,Zámyslický 724 321 610,Praha,STRONG 7500VA/3F – 45min,"Praha, Haštalská 14, hotel Maxmilián",,,,,22/26,,,,,,22/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"praha, hevlínská, česká republika","Praha, Hevlínská, Česká republika",2025-03-13,2025-03-13,-417,Po termínu,červená,2025-03-13 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",359,2015,,,,Praha,3 kusy záložních zdrojů,,,,,13/25-3,,,,,,,,,,,"24.6.2025 -nechtějí opravu, ehrenberger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Vinčálek - 777 356 911,"Praha, Hevlínská",,,
"praha, hloubětín 837-2, bd, kbelská 1152, česká republika","Praha, Hloubětín 837-2, BD, Kbelská 1152, Česká republika",2026-03-20,2026-03-20,-45,Po termínu,červená,2026-03-20 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",360,2021,ano,ano,,Praha,ASTIP STRONG 2000/3f-15 min,,,,,20/26,,,,,,,,,,,"jiný správce, nemám kontakt MVítek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Nikola Pajerová, 777 355 757","Praha, Hloubětín 837-2, BD, Kbelská 1152",,,
"praha, hlučkova 812 + 813, česká republika","Praha, Hlučkova 812 + 813, Česká republika",2025-11-06,2027-01-28,269,Více než 60 dnů,zelená,2025-11-06 (plánovaná); 2027-01-28 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",361,2016,,,,Praha,"812 - PS 15kVA/3F-45minut, PS 150/1F-24 hodin , 813 - PS 7500/3F-15minut, PS 150/1F-24 hodin",,,28/27-812,,,,,,,,,,6/25-813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"David Andrlík 606 690 862, správc. Fa AUSTIS Real s.r.o., 813 -Lopatka předseda 721 962 541","Praha, Hlučkova 812 + 813",,,
"praha, holečkova 13, hotel, česká republika","Praha, Holečkova 13, hotel, Česká republika",2025-05-24,2025-05-24,-345,Po termínu,červená,2025-05-24 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",364,2023,ano,ano,,Praha,ASTIP STRONG 47kVA/20kVA/3F-45 minut,,,,,,,24/25,,,,,,,,,"pan Opletal, chce revize 1 x ročně ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Opletal 777 168 685,"Praha, Holečkova 13, hotel",,,
"praha, honzíkova 711/19, bd, česká republika","Praha, Honzíkova 711/19, BD, Česká republika",,2026-10-26,175,Více než 60 dnů,zelená,2026-10-26 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",362,2025,ano,,,Praha,ASTIP STRONG 140/20kVA/3F -45 minut,,,,,,,,,,,,26/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Naušová - Uldrich 602 305 888,"Praha, Honzíkova 711/19, BD",,,
"praha, hornoměcholupská 663, česká republika","Praha, Hornoměcholupská 663, Česká republika",2024-10-10,2024-10-10,-571,Po termínu,červená,2024-10-10 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",365,"2013, nově 2023",,,,Praha,  PS 15kVA/3f-10A/60C,,,,,,,,,,,,10/24,,,,2023 -měnil se komplet pajšl zdroje ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Zika 778 428 878,"Praha, Hornoměcholupská 663",,,
"praha, hornoměcholupská 690/146, 691, česká republika","Praha, Hornoměcholupská 690/146, 691, Česká republika",,,,Bez termínu,šedá,,,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",366,2014,,,,Praha,2x Ps 40 000VA/3f-50 minut,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Vaněk Michal - 778 743 146,"Praha, Hornoměcholupská 690/146, 691",,,
"praha, hornoměcholupská 693, česká republika","Praha, Hornoměcholupská 693, Česká republika",2025-08-22,2025-08-22,-255,Po termínu,červená,2025-08-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",367,2014,ano,,,Praha,  LiftBack 50kVA/3f-50 minut,,,,,,,,,,22/25,,,,,,přidat TO247 !!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Chotěborský - 601 337 199,"Praha, Hornoměcholupská 693",,,
"praha, horolezecká 1a, česká republika","Praha, Horolezecká 1a, Česká republika",2026-04-14,2026-04-14,-20,Po termínu,červená,2026-04-14 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",368,2019,ano,ano,,Praha,STRONG 75 kVA/3F -45 minut + RPO,,,,,,14/26,,,,,,,,,,2025 -objednána výměna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Filip 737 835 881, Cukrová 732 577 439","Praha, Horolezecká 1a",,,
"praha, horoměřice, velvarská 1101, 8-9, bd, česká republika","Praha, Horoměřice, Velvarská 1101, 8-9, BD, Česká republika",,2027-01-22,263,Více než 60 dnů,zelená,2027-01-22 (plánovaná),,,čeká na přesné geokódování,"Kalendář FZ - 12 měsíců, 2023.xlsx",369,2020,,,,Praha,2 x STRONG 5 kVA/3F -30 minut,,,22/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Ehrenberger 774 252 277,"Praha, Horoměřice, Velvarská 1101, 8-9, BD",,,
